region,province,municipality,active_population,employed_population
Meknes Tafilalet,Meknes,(Tous),257 135,213 027
Meknes Tafilalet,Meknes,MU-Meknes,170 273,137 834
Meknes Tafilalet,Meknes,MU-Al Machouar Stinia,2 189,1 794
Meknes Tafilalet,Meknes,MU-Boufakrane,2 113,1 765
Meknes Tafilalet,Meknes,MU-Toulal,5 085,4 183
Meknes Tafilalet,Meknes,MU-Moulay Driss Zerhoun,4 509,3 420
Meknes Tafilalet,Meknes,MU-Ouislane,15 856,12 061
Meknes Tafilalet,Meknes,CR-Ain Jemaa,3 453,3 294
Meknes Tafilalet,Meknes,AC-Ain jemaa,959,814
Meknes Tafilalet,Meknes,CR-Ain Karma,2 161,2 047
Meknes Tafilalet,Meknes,AC-Ain Karma,1 325,1 109
Meknes Tafilalet,Meknes,CR-Ain Orma,1 406,1 225
Meknes Tafilalet,Meknes,CR-Ait Ouallal,1 895,1 835
Meknes Tafilalet,Meknes,CR-Dar Oum Soltane,1 831,1 769
Meknes Tafilalet,Meknes,CR-Oued Rommane,2 451,2 318
Meknes Tafilalet,Meknes,CR-Dkhissa,5 031,4 500
Meknes Tafilalet,Meknes,CR-Majjate,3 261,2 950
Meknes Tafilalet,Meknes,CR-M haya,6 501,5 969
Meknes Tafilalet,Meknes,AC-M haya,1 315,1 100
Meknes Tafilalet,Meknes,CR-Oued Jdida,4 975,4 356
Meknes Tafilalet,Meknes,CR-Sidi Sliman Mol Kifane,3 794,3 290
Meknes Tafilalet,Meknes,AC-Hadj Kaddour,1 571,1 359
Meknes Tafilalet,Meknes,CR-Charqaoua,1 801,1 794
Meknes Tafilalet,Meknes,CR-Karmet Ben Salem,1 472,1 351
Meknes Tafilalet,Meknes,CR-M Rhassiyine,2 703,2 399
Meknes Tafilalet,Meknes,CR-N zalat Bni Amar,2 730,2 531
Meknes Tafilalet,Meknes,AC-N zalat,396,341
Meknes Tafilalet,Meknes,CR-Oualili,2 416,2 089
Meknes Tafilalet,Meknes,CR-Sidi Abdallah Khayat,3 663,3 530
Meknes Tafilalet,El Hajeb,(Tous),73 530,65 141
Meknes Tafilalet,El Hajeb,MU-Agourai,4 635,3 761
Meknes Tafilalet,El Hajeb,MU-Ain Taoujdate,7 117,5 933
Meknes Tafilalet,El Hajeb,MU-El Hajeb,9 185,7 178
Meknes Tafilalet,El Hajeb,MU-Sabaa Aiyoun,6 740,5 651
Meknes Tafilalet,El Hajeb,CR-Ait Ouikhalfen,1 726,1 626
Meknes Tafilalet,El Hajeb,CR-Ait Yaazem,4 821,4 474
Meknes Tafilalet,El Hajeb,CR-Jahjouh,1 541,1 383
Meknes Tafilalet,El Hajeb,AC-Sebt Jahjouh,1 214,1 032
Meknes Tafilalet,El Hajeb,CR-Ras Ijerri,2 316,2 088
Meknes Tafilalet,El Hajeb,CR-Tamchachate,1 507,1 494
Meknes Tafilalet,El Hajeb,CR-Ait Boubidmane,3 862,3 540
Meknes Tafilalet,El Hajeb,AC-Bouderbala,1 569,1 489
Meknes Tafilalet,El Hajeb,CR-Ait Harz Allah,4 415,4 267
Meknes Tafilalet,El Hajeb,CR-Bitit,3 371,3 293
Meknes Tafilalet,El Hajeb,CR-Laqsir,10 674,9 401
Meknes Tafilalet,El Hajeb,CR-Ait Bourzouine,3 065,2 925
Meknes Tafilalet,El Hajeb,CR-Ait Naamane,2 215,2 155
Meknes Tafilalet,El Hajeb,CR-Iqaddar,3 557,3 451
Meknes Tafilalet,Errachidia,(Tous),169 876,148 639
Meknes Tafilalet,Errachidia,MU-Arfoud,6 474,5 114
Meknes Tafilalet,Errachidia,MU-Boudnib,2 321,1 780
Meknes Tafilalet,Errachidia,MU-Errachidia,22 276,17 603
Meknes Tafilalet,Errachidia,MU-Er rich,5 189,3 997
Meknes Tafilalet,Errachidia,MU-Goulmima,4 327,3 449
Meknes Tafilalet,Errachidia,MU-Jorf,3 004,2 320
Meknes Tafilalet,Errachidia,MU-Moulay Ali Cherif,5 248,4 591
Meknes Tafilalet,Errachidia,MU-Tinejdad,1 874,1 536
Meknes Tafilalet,Errachidia,CR-Aarab Sebbah Gheris,1 512,1 204
Meknes Tafilalet,Errachidia,CR-Aarab Sebbah Ziz,5 270,4 528
Meknes Tafilalet,Errachidia,CR-Alnif,3 685,2 992
Meknes Tafilalet,Errachidia,AC-Alnif,724,690
Meknes Tafilalet,Errachidia,CR-Es sifa,1 861,1 697
Meknes Tafilalet,Errachidia,CR-Fezna,953,861
Meknes Tafilalet,Errachidia,CR-H Ssyia,2 845,2 628
Meknes Tafilalet,Errachidia,CR-M Ssici,2 631,2 317
Meknes Tafilalet,Errachidia,CR-Ait Hani,3 721,3 644
Meknes Tafilalet,Errachidia,CR-Amellagou,2 034,1 993
Meknes Tafilalet,Errachidia,CR-Assoul,2 617,2 338
Meknes Tafilalet,Errachidia,CR-Aoufous,3 214,2 899
Meknes Tafilalet,Errachidia,AC-Aoufous,370,350
Meknes Tafilalet,Errachidia,CR-Chorfa M Daghra,4 339,3 914
Meknes Tafilalet,Errachidia,CR-Er rteb,3 857,3 582
Meknes Tafilalet,Errachidia,CR-Lkheng,4 257,3 717
Meknes Tafilalet,Errachidia,CR-Oued Naam,2 031,1 800
Meknes Tafilalet,Errachidia,CR-En nzala,2 095,2 076
Meknes Tafilalet,Errachidia,CR-Gourrama,3 612,3 407
Meknes Tafilalet,Errachidia,AC-Gourrama,890,690
Meknes Tafilalet,Errachidia,CR-Guers Tiaallaline,3 931,3 758
Meknes Tafilalet,Errachidia,CR-Guir,1 666,1 608
Meknes Tafilalet,Errachidia,CR-M Zizel,2 185,2 122
Meknes Tafilalet,Errachidia,CR-Sidi Aayad,2 812,2 673
Meknes Tafilalet,Errachidia,CR-Zaouiat Sidi Hamza,1 809,1 693
Meknes Tafilalet,Errachidia,CR-Bni M Hamed Sijelmassa,4 667,3 798
Meknes Tafilalet,Errachidia,CR-Er rissani,1 599,1 321
Meknes Tafilalet,Errachidia,CR-Es sfalat,3 727,3 413
Meknes Tafilalet,Errachidia,CR-Et taous,1 756,1 317
Meknes Tafilalet,Errachidia,CR-Sidi Ali,808,669
Meknes Tafilalet,Errachidia,CR-Aghbalou N Kerdous,4 251,4 179
Meknes Tafilalet,Errachidia,CR-Ferkla El Oulia,5 712,4 719
Meknes Tafilalet,Errachidia,CR-Ferkla Es soufla,3 389,2 987
Meknes Tafilalet,Errachidia,CR-Gheris El Ouloui,3 939,3 189
Meknes Tafilalet,Errachidia,CR-Gheris Es soufli,2 503,2 388
Meknes Tafilalet,Errachidia,CR-Melaab,4 096,3 676
Meknes Tafilalet,Errachidia,CR-Tadighoust,2 586,2 377
Meknes Tafilalet,Errachidia,CR-Ait Yahya,1 976,1 974
Meknes Tafilalet,Errachidia,CR-Amouguer,2 725,2 662
Meknes Tafilalet,Errachidia,CR-Bou Azmou,4 012,3 947
Meknes Tafilalet,Errachidia,CR-Imilchil,3 289,3 250
Meknes Tafilalet,Errachidia,CR-Outerbat,3 207,3 202
Meknes Tafilalet,Ifrane,(Tous),51 054,44 769
Meknes Tafilalet,Ifrane,MU-Azrou,17 234,14 068
Meknes Tafilalet,Ifrane,MU-Ifrane,4 609,3 582
Meknes Tafilalet,Ifrane,CR-Ain Leuh,1 616,1 537
Meknes Tafilalet,Ifrane,AC-Ain Leuh,1 790,1 449
Meknes Tafilalet,Ifrane,CR-Ben Smim,2 240,1 964
Meknes Tafilalet,Ifrane,CR-Oued Ifrane,3 331,3 177
Meknes Tafilalet,Ifrane,AC-Souk L Had,856,645
Meknes Tafilalet,Ifrane,CR-Sidi El Makhfi,4 722,4 578
Meknes Tafilalet,Ifrane,AC-Sidi addi,949,855
Meknes Tafilalet,Ifrane,CR-Tigrigra,3 847,3 528
Meknes Tafilalet,Ifrane,CR-Timahdite,2 801,2 759
Meknes Tafilalet,Ifrane,AC-Timahdite,778,701
Meknes Tafilalet,Ifrane,CR-Dayat Aoua,3 044,2 829
Meknes Tafilalet,Ifrane,CR-Tizguite,3 237,3 097
Meknes Tafilalet,Khenifra,(Tous),172 850,149 403
Meknes Tafilalet,Khenifra,MU-Khenifra,24 175,19 744
Meknes Tafilalet,Khenifra,MU-Midelt,14 226,9 928
Meknes Tafilalet,Khenifra,MU-M Rirt,10 571,7 164
Meknes Tafilalet,Khenifra,CR-Ait Ishaq,3 184,3 055
Meknes Tafilalet,Khenifra,AC-Ait Ishaq,3 568,2 815
Meknes Tafilalet,Khenifra,CR-Ait Saadelli,961,957
Meknes Tafilalet,Khenifra,CR-El Kbab,2 796,2 682
Meknes Tafilalet,Khenifra,AC-El kbab,2 780,2 160
Meknes Tafilalet,Khenifra,CR-Kerrouchen,1 971,1 941
Meknes Tafilalet,Khenifra,AC-Kerrouchen,606,490
Meknes Tafilalet,Khenifra,CR-Ouaoumana,2 604,2 302
Meknes Tafilalet,Khenifra,CR-Sidi Yahya Ou Saad,2 802,2 712
Meknes Tafilalet,Khenifra,CR-Tighassaline,2 371,2 296
Meknes Tafilalet,Khenifra,AC-Tighassaline,2 082,1 733
Meknes Tafilalet,Khenifra,CR-Aguelmam Azegza,3 102,3 048
Meknes Tafilalet,Khenifra,CR-Aguelmous,9 377,9 082
Meknes Tafilalet,Khenifra,AC-Aguelmous,3 491,2 843
Meknes Tafilalet,Khenifra,CR-ElBorj,1 896,1 859
Meknes Tafilalet,Khenifra,CR-El Hammam,5 104,4 732
Meknes Tafilalet,Khenifra,AC-Tighza,710,401
Meknes Tafilalet,Khenifra,CR-Had Bouhssoussen,1 554,1 479
Meknes Tafilalet,Khenifra,AC-Had bouhssoussen,734,635
Meknes Tafilalet,Khenifra,CR-Lehri,3 514,3 392
Meknes Tafilalet,Khenifra,CR-Moha Ou Hammou Zayani,3 604,3 297
Meknes Tafilalet,Khenifra,AC-Amalou Ighriben,9 139,6 986
Meknes Tafilalet,Khenifra,CR-Moulay Bouazza,1 479,1 406
Meknes Tafilalet,Khenifra,AC-Moulay bouazza,1 561,1 219
Meknes Tafilalet,Khenifra,CR-Oum Rabia,4 862,4 599
Meknes Tafilalet,Khenifra,CR-Sebt Ait Rahou,3 324,3 148
Meknes Tafilalet,Khenifra,CR-Sidi Amar,1 126,1 097
Meknes Tafilalet,Khenifra,CR-Sidi Hcine,1 591,1 576
Meknes Tafilalet,Khenifra,CR-Sidi Lamine,4 524,4 213
Meknes Tafilalet,Khenifra,AC-Kahf nsour,1 707,1 471
Meknes Tafilalet,Khenifra,CR-Aghbalou,2 543,2 509
Meknes Tafilalet,Khenifra,AC-Aghbalou Nssardane,625,545
Meknes Tafilalet,Khenifra,CR-Agoudim,1 394,1 376
Meknes Tafilalet,Khenifra,CR-Ait Ayach,3 666,3 512
Meknes Tafilalet,Khenifra,CR-Ait Ben Yacoub,1 543,1 219
Meknes Tafilalet,Khenifra,CR-Ait Izdeg,2 910,2 599
Meknes Tafilalet,Khenifra,CR-Amersid,2 361,2 187
Meknes Tafilalet,Khenifra,CR-Anemzi,1 740,1 728
Meknes Tafilalet,Khenifra,CR-Boumia,893,882
Meknes Tafilalet,Khenifra,AC-Boumia,3 689,3 286
Meknes Tafilalet,Khenifra,CR-Itzer,1 766,1 589
Meknes Tafilalet,Khenifra,AC-Itzer,1 894,1 608
Meknes Tafilalet,Khenifra,CR-Mibladen,931,861
Meknes Tafilalet,Khenifra,CR-Sidi Yahya Ou Youssef,811,708
Meknes Tafilalet,Khenifra,CR-Tanourdi,914,901
Meknes Tafilalet,Khenifra,CR-Tizi N Ghachou,1 059,1 056
Meknes Tafilalet,Khenifra,CR-Tounfite,1 604,1 560
Meknes Tafilalet,Khenifra,AC-Tounfite,1 971,1 605
Meknes Tafilalet,Khenifra,CR-Zaida,1 800,1 716
Meknes Tafilalet,Khenifra,AC-Zaida,1 640,1 494
Fes Boulemane,Boulemane,(Tous),56 611,50 618
Fes Boulemane,Boulemane,MU-Boulemane,2 004,1 505
Fes Boulemane,Boulemane,MU-Imouzzer Marmoucha,1 006,725
Fes Boulemane,Boulemane,MU-Missour,6 221,5 131
Fes Boulemane,Boulemane,MU-Outat El Haj,3 313,2 471
Fes Boulemane,Boulemane,CR-Ait Bazza,1 252,1 242
Fes Boulemane,Boulemane,CR-Ait El Mane,884,847
Fes Boulemane,Boulemane,CR-Almis Marmoucha,917,864
Fes Boulemane,Boulemane,CR-ElMers,2 062,1 889
Fes Boulemane,Boulemane,CR-Enjil,2 563,2 399
Fes Boulemane,Boulemane,CR-Guigou,4 161,3 879
Fes Boulemane,Boulemane,AC-Guigou,2 262,1 960
Fes Boulemane,Boulemane,CR-Serghina,1 059,994
Fes Boulemane,Boulemane,CR-Skoura M Daz,2 664,2 294
Fes Boulemane,Boulemane,CR-Talzemt,1 460,1 419
Fes Boulemane,Boulemane,CR-Ksabi Moulouya,3 306,2 950
Fes Boulemane,Boulemane,CR-Ouizeght,1 919,1 819
Fes Boulemane,Boulemane,CR-Sidi Boutayeb,3 371,3 090
Fes Boulemane,Boulemane,CR-ElOrjane,2 082,1 885
Fes Boulemane,Boulemane,CR-Ermila,2 069,1 900
Fes Boulemane,Boulemane,CR-Fritissa,6 659,6 217
Fes Boulemane,Boulemane,CR-Oulad Ali Youssef,2 071,2 037
Fes Boulemane,Boulemane,CR-Tissaf,3 306,3 101
Fes Boulemane,Fes,(Tous),358 784,303 250
Fes Boulemane,Fes,AR-Agdal,53 728,46 411
Fes Boulemane,Fes,MU-Mechouar Fes Jdid,10 495,8 405
Fes Boulemane,Fes,AR-Saiss,57 608,47 955
Fes Boulemane,Fes,AR-Fes Medina,34 909,29 373
Fes Boulemane,Fes,AR-Jnan El Ouard,62 662,53 313
Fes Boulemane,Fes,AR-ElMariniyine,70 000,57 684
Fes Boulemane,Fes,AR-Zouagha,58 030,50 052
Fes Boulemane,Fes,CR-Oulad Tayeb,4 965,4 620
Fes Boulemane,Fes,AC-Oulad Tayeb,1 863,1 570
Fes Boulemane,Fes,CR-Ain Bida,2 703,2 402
Fes Boulemane,Fes,CR-Sidi Harazem,644,634
Fes Boulemane,Fes,AC-Skhinate,1 177,831
Fes Boulemane,Sefrou,(Tous),90 707,78 232
Fes Boulemane,Sefrou,MU-Bhalil,4 605,4 170
Fes Boulemane,Sefrou,MU-ElMenzel,3 300,2 324
Fes Boulemane,Sefrou,MU-Imouzzer Kandar,4 458,3 525
Fes Boulemane,Sefrou,MU-Ribate El Kheir,2 697,1 553
Fes Boulemane,Sefrou,MU-Sefrou,22 715,18 715
Fes Boulemane,Sefrou,CR-Adrej,761,679
Fes Boulemane,Sefrou,CR-Ain Timguenai,834,698
Fes Boulemane,Sefrou,AC-Zaouiat bougrine,1 161,1 024
Fes Boulemane,Sefrou,CR-Bir Tam Tam,3 318,2 831
Fes Boulemane,Sefrou,CR-Dar El Hamra,1 483,1 285
Fes Boulemane,Sefrou,CR-Ighzrane,3 911,3 332
Fes Boulemane,Sefrou,CR-Mtarnagha,1 890,1 602
Fes Boulemane,Sefrou,CR-Oulad Mkoudou,2 516,2 197
Fes Boulemane,Sefrou,CR-Ras Tabouda,2 170,1 890
Fes Boulemane,Sefrou,CR-Tafajight,1 214,1 214
Fes Boulemane,Sefrou,CR-Ain Cheggag,4 240,3 825
Fes Boulemane,Sefrou,AC-Ain Cheggag,1 143,1 003
Fes Boulemane,Sefrou,CR-Ait Sebaa Lajrouf,5 695,5 211
Fes Boulemane,Sefrou,CR-Aghbalou Aqorar,6 197,5 853
Fes Boulemane,Sefrou,CR-Ahl Sidi Lahcen,2 010,1 850
Fes Boulemane,Sefrou,CR-Azzaba,844,661
Fes Boulemane,Sefrou,CR-Kandar Sidi Khiar,3 027,2 897
Fes Boulemane,Sefrou,CR-Laanoussar,3 630,3 416
Fes Boulemane,Sefrou,CR-Sidi Youssef Ben Ahmed,4 680,4 405
Fes Boulemane,Sefrou,CR-Tazouta,2 208,2 072
Fes Boulemane,Moulay Yacoub,(Tous),51 795,49 629
Fes Boulemane,Moulay Yacoub,MU-Moulay Yacoub,1 240,1 007
Fes Boulemane,Moulay Yacoub,CR-Ain Chkef,11 471,10 812
Fes Boulemane,Moulay Yacoub,CR-Mikkes,2 357,2 311
Fes Boulemane,Moulay Yacoub,CR-Sebaa Rouadi,7 171,6 682
Fes Boulemane,Moulay Yacoub,CR-Sebt Loudaya,3 967,3 908
Fes Boulemane,Moulay Yacoub,CR-Ain Bou Ali,5 141,5 089
Fes Boulemane,Moulay Yacoub,CR-Ain Kansra,3 850,3 682
Fes Boulemane,Moulay Yacoub,CR-Laajajra,4 753,4 662
Fes Boulemane,Moulay Yacoub,CR-Louadaine,3 398,3 326
Fes Boulemane,Moulay Yacoub,CR-Oulad Mimoun,4 391,4 273
Fes Boulemane,Moulay Yacoub,CR-Sidi Daoud,4 056,3 877
Taza Al Hoceima Taounat,Al Hoceima,(Tous),134 534,120 234
Taza Al Hoceima Taounat,Al Hoceima,MU-Al Hoceima,19 083,15 130
Taza Al Hoceima Taounat,Al Hoceima,MU-Bni Bouayach,4 088,3 376
Taza Al Hoceima Taounat,Al Hoceima,MU-Imzouren,7 389,5 860
Taza Al Hoceima Taounat,Al Hoceima,MU-Targuist,3 503,2 850
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Boufrah,2 683,2 502
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Gmil,2 851,2 641
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Gmil Maksouline,2 371,2 292
Taza Al Hoceima Taounat,Al Hoceima,CR-Senada,3 228,3 087
Taza Al Hoceima Taounat,Al Hoceima,CR-Ait Kamra,2 111,1 958
Taza Al Hoceima Taounat,Al Hoceima,CR-Ait Youssef Ou Ali,3 733,3 066
Taza Al Hoceima Taounat,Al Hoceima,AC-Ajdir,1 348,960
Taza Al Hoceima Taounat,Al Hoceima,CR-Arbaa Taourirt,2 553,2 331
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Abdallah,2 684,2 420
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Hadifa,1 169,1 121
Taza Al Hoceima Taounat,Al Hoceima,AC-Bni hadifa,547,448
Taza Al Hoceima Taounat,Al Hoceima,CR-Chakrane,2 986,2 850
Taza Al Hoceima Taounat,Al Hoceima,CR-Imrabten,2 495,2 028
Taza Al Hoceima Taounat,Al Hoceima,AC-Tamassint,496,312
Taza Al Hoceima Taounat,Al Hoceima,CR-Izemmouren,1 781,1 434
Taza Al Hoceima Taounat,Al Hoceima,CR-Louta,1 896,1 612
Taza Al Hoceima Taounat,Al Hoceima,CR-Nekkour,3 790,3 194
Taza Al Hoceima Taounat,Al Hoceima,CR-Rouadi,2 357,2 063
Taza Al Hoceima Taounat,Al Hoceima,CR-Tifarouine,2 394,2 281
Taza Al Hoceima Taounat,Al Hoceima,CR-Zaouiat Sidi Abdelkader,2 100,1 854
Taza Al Hoceima Taounat,Al Hoceima,CR-Abdelghaya Souahel,9 578,9 420
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Ahmed Imoukzan,3 118,3 020
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Ammart,2 858,2 798
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Bchir,2 975,2 954
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Bouchibet,2 744,2 622
Taza Al Hoceima Taounat,Al Hoceima,CR-Bni Bounsar,2 499,2 320
Taza Al Hoceima Taounat,Al Hoceima,CR-Issaguen,5 720,5 509
Taza Al Hoceima Taounat,Al Hoceima,AC-Issaguen,815,714
Taza Al Hoceima Taounat,Al Hoceima,CR-Ketama,6 505,6 091
Taza Al Hoceima Taounat,Al Hoceima,CR-Moulay Ahmed Cherif,3 677,3 548
Taza Al Hoceima Taounat,Al Hoceima,CR-Sidi Boutmim,3 129,2 775
Taza Al Hoceima Taounat,Al Hoceima,CR-Sidi Bouzineb,1 509,1 402
Taza Al Hoceima Taounat,Al Hoceima,CR-Taghzout,2 011,1 958
Taza Al Hoceima Taounat,Al Hoceima,CR-Tamsaout,5 561,5 408
Taza Al Hoceima Taounat,Al Hoceima,CR-Zarkt,2 199,2 025
Taza Al Hoceima Taounat,Taounate,(Tous),247 791,233 536
Taza Al Hoceima Taounat,Taounate,MU-Ghafsai,1 760,1 386
Taza Al Hoceima Taounat,Taounate,MU-Karia Ba Mohamed,5 417,4 632
Taza Al Hoceima Taounat,Taounate,MU-Taounate,9 702,7 969
Taza Al Hoceima Taounat,Taounate,MU-Thar Es souk,1 086,765
Taza Al Hoceima Taounat,Taounate,MU-Tissa,2 935,2 457
Taza Al Hoceima Taounat,Taounate,CR-ElBibane,2 259,2 142
Taza Al Hoceima Taounat,Taounate,CR-Galaz,7 049,6 668
Taza Al Hoceima Taounat,Taounate,CR-Kissane,5 252,4 710
Taza Al Hoceima Taounat,Taounate,CR-Oudka,3 616,3 502
Taza Al Hoceima Taounat,Taounate,CR-Ourtzagh,4 921,4 529
Taza Al Hoceima Taounat,Taounate,CR-Ratba,6 697,6 566
Taza Al Hoceima Taounat,Taounate,CR-Sidi Haj M hamed,3 652,3 553
Taza Al Hoceima Taounat,Taounate,CR-Sidi Mokhfi,2 979,2 885
Taza Al Hoceima Taounat,Taounate,CR-Sidi Yahya Bni Zeroual,6 032,5 635
Taza Al Hoceima Taounat,Taounate,CR-Tabouda,7 091,6 964
Taza Al Hoceima Taounat,Taounate,CR-Tafrant,4 728,4 388
Taza Al Hoceima Taounat,Taounate,CR-Timezgana,5 955,5 833
Taza Al Hoceima Taounat,Taounate,CR-Bni Snous,3 333,3 256
Taza Al Hoceima Taounat,Taounate,CR-Bouchabel,6 372,6 261
Taza Al Hoceima Taounat,Taounate,CR-Ghouazi,7 379,6 910
Taza Al Hoceima Taounat,Taounate,CR-Jbabra,8 479,8 395
Taza Al Hoceima Taounat,Taounate,CR-Loulja,6 832,6 754
Taza Al Hoceima Taounat,Taounate,CR-Mkansa,8 034,7 700
Taza Al Hoceima Taounat,Taounate,CR-Moulay Abdelkrim,3 177,3 099
Taza Al Hoceima Taounat,Taounate,CR-Moulay Bouchta,7 550,7 383
Taza Al Hoceima Taounat,Taounate,CR-Sidi El Abed,4 746,4 476
Taza Al Hoceima Taounat,Taounate,CR-Ain Mediouna,5 053,4 073
Taza Al Hoceima Taounat,Taounate,CR-Bni Oulid,4 553,4 254
Taza Al Hoceima Taounat,Taounate,CR-Bni Ounjel Tafraout,3 751,3 625
Taza Al Hoceima Taounat,Taounate,CR-Bouadel,4 514,4 149
Taza Al Hoceima Taounat,Taounate,CR-Bouhouda,10 375,9 746
Taza Al Hoceima Taounat,Taounate,CR-Fennassa Bab El Hit,4 986,4 782
Taza Al Hoceima Taounat,Taounate,CR-Khlalfa,5 166,4 855
Taza Al Hoceima Taounat,Taounate,CR-Mezraoua,3 379,3 227
Taza Al Hoceima Taounat,Taounate,CR-Rghioua,1 704,1 567
Taza Al Hoceima Taounat,Taounate,CR-Tamedit,9 143,8 840
Taza Al Hoceima Taounat,Taounate,CR-Zrizer,3 095,2 792
Taza Al Hoceima Taounat,Taounate,CR-Ain Aicha,7 721,7 383
Taza Al Hoceima Taounat,Taounate,CR-Ain Legdah,4 195,4 086
Taza Al Hoceima Taounat,Taounate,CR-Ain Maatouf,3 851,3 564
Taza Al Hoceima Taounat,Taounate,CR-Bouarouss,6 961,6 746
Taza Al Hoceima Taounat,Taounate,CR-ElBsabsa,3 073,3 031
Taza Al Hoceima Taounat,Taounate,CR-Messassa,2 928,2 842
Taza Al Hoceima Taounat,Taounate,CR-Oued Jemaa,3 393,3 308
Taza Al Hoceima Taounat,Taounate,CR-Oulad Ayyad,3 341,2 732
Taza Al Hoceima Taounat,Taounate,CR-Oulad Daoud,3 702,3 626
Taza Al Hoceima Taounat,Taounate,CR-Outabouabane,3 535,3 480
Taza Al Hoceima Taounat,Taounate,CR-Ras El Oued,5 775,5 599
Taza Al Hoceima Taounat,Taounate,CR-Sidi M Hamed Ben Lahcen,6 564,6 411
Taza Al Hoceima Taounat,Taza,(Tous),244 673,203 775
Taza Al Hoceima Taounat,Taza,MU-Aknoul,1 295,906
Taza Al Hoceima Taounat,Taza,MU-Guercif,17 527,13 634
Taza Al Hoceima Taounat,Taza,MU-Oued Amlil,2 752,2 053
Taza Al Hoceima Taounat,Taza,MU-Tahla,6 224,4 130
Taza Al Hoceima Taounat,Taza,MU-Taza,46 125,35 271
Taza Al Hoceima Taounat,Taza,CR-Ajdir,3 588,2 866
Taza Al Hoceima Taounat,Taza,AC-Ajdir,469,341
Taza Al Hoceima Taounat,Taza,CR-Bourd,2 671,2 340
Taza Al Hoceima Taounat,Taza,CR-Gzenaya Al Janoubia,4 043,2 978
Taza Al Hoceima Taounat,Taza,CR-Jbarna,1 248,1 024
Taza Al Hoceima Taounat,Taza,CR-Sidi Ali Bourakba,3 168,2 284
Taza Al Hoceima Taounat,Taza,CR-Tizi Ouasli,2 036,1 651
Taza Al Hoceima Taounat,Taza,AC-Tizi Ouasli,524,327
Taza Al Hoceima Taounat,Taza,CR-Assebbab,2 124,1 995
Taza Al Hoceima Taounat,Taza,CR-Barkine,3 669,3 555
Taza Al Hoceima Taounat,Taza,CR-Houara Oulad Raho,10 597,8 755
Taza Al Hoceima Taounat,Taza,CR-Lamrija,4 015,3 486
Taza Al Hoceima Taounat,Taza,CR-Mazguitam,3 205,2 630
Taza Al Hoceima Taounat,Taza,CR-Oulad Bourima,657,590
Taza Al Hoceima Taounat,Taza,CR-Ras Laksar,4 001,3 951
Taza Al Hoceima Taounat,Taza,CR-Saka,7 054,6 308
Taza Al Hoceima Taounat,Taza,CR-Taddart,6 569,6 039
Taza Al Hoceima Taounat,Taza,CR-Bni Frassen,7 996,7 396
Taza Al Hoceima Taounat,Taza,CR-Bouchfaa,3 690,2 831
Taza Al Hoceima Taounat,Taza,CR-Bouhlou,3 442,2 756
Taza Al Hoceima Taounat,Taza,CR-Ghiata Al Gharbia,8 500,6 965
Taza Al Hoceima Taounat,Taza,CR-Oulad Zbair,4 728,4 130
Taza Al Hoceima Taounat,Taza,AC-Oulad Zbair,1 364,1 004
Taza Al Hoceima Taounat,Taza,CR-Rbaa El Fouki,2 468,2 088
Taza Al Hoceima Taounat,Taza,CR-Ait Saghrouchen,5 293,4 788
Taza Al Hoceima Taounat,Taza,CR-Bouyablane,1 049,1 042
Taza Al Hoceima Taounat,Taza,CR-Maghraoua,3 104,2 825
Taza Al Hoceima Taounat,Taza,CR-Matmata,3 024,2 402
Taza Al Hoceima Taounat,Taza,AC-Matmata,658,472
Taza Al Hoceima Taounat,Taza,CR-Smia,2 427,2 005
Taza Al Hoceima Taounat,Taza,CR-Tazarine,929,910
Taza Al Hoceima Taounat,Taza,CR-Zrarda,1 983,1 896
Taza Al Hoceima Taounat,Taza,AC-Zrarda,747,517
Taza Al Hoceima Taounat,Taza,CR-Bni Ftah,4 905,3 988
Taza Al Hoceima Taounat,Taza,CR-Brarha,3 490,2 969
Taza Al Hoceima Taounat,Taza,CR-ElGouzate,3 113,2 537
Taza Al Hoceima Taounat,Taza,CR-Kaf El Ghar,3 979,3 536
Taza Al Hoceima Taounat,Taza,CR-Msila,3 976,3 539
Taza Al Hoceima Taounat,Taza,CR-Taifa,3 328,2 995
Taza Al Hoceima Taounat,Taza,CR-Tainaste,3 242,2 909
Taza Al Hoceima Taounat,Taza,AC-Tainaste,532,395
Taza Al Hoceima Taounat,Taza,CR-Traiba,3 156,2 855
Taza Al Hoceima Taounat,Taza,CR-Bab Boudir,2 213,1 860
Taza Al Hoceima Taounat,Taza,CR-Bab Marzouka,7 441,6 102
Taza Al Hoceima Taounat,Taza,CR-Bni Lent,4 112,3 708
Taza Al Hoceima Taounat,Taza,CR-Galdamane,6 789,6 385
Taza Al Hoceima Taounat,Taza,CR-Meknassa Acharqia,3 001,2 550
